,dx,ht,natr,willr,rsi,roc,mom,mfi,adxr,obv,ad,bas,macd,cci,atr,r_3,r_2,r_1,width,cmo,slowd,slowk,hl,var,mabas,mabas2,amount,close,datetime,down_count,high,low,open,percent,settle,suspend,time,up_count,vol,wd,state
2017-02-07,25.6505359436,0,1.12967970318,-62.3951342282,37.7653699949,-0.796561053658,-13.79,37.3644811191,29.5376393178,22659538.0,-797061.2355,-0.00177660447384,2.39147947759,-105.874607053,16.3200307999,-1.40358487259,-0.539844052522,-0.654066082266,0.0235460687154,-24.4692600102,51.3100492637,32.9472548333,-4.73560332973,44.4184690011,-0.000915594152363,-0.0137627664525,6816305664.0,1444.66,201702071500,25.0,1452.89,1440.21,1452.57,-0.651931726,1454.14,0,1500,0.0,57519.0,2,4
2017-02-08,1.18141607023,0,1.22479774319,-4.53441295547,52.27743846,1.03579703588,16.31,48.3413760402,28.707971329,22797869.0,-674005.633084,0.000765018626516,3.71365512713,71.9856461145,18.0521714571,1.46327238308,1.34905035333,2.0031164356,0.0212879450386,4.55487692001,45.4876407568,48.094962246,-3.59263156588,66.7833010009,-0.000355389892737,-0.0136277079042,16665138176.0,1473.89,201702081500,0.0,1476.13,1435.56,1443.88,2.023313444,1444.66,0,1500,26.0,138331.0,3,3
2017-02-09,5.91637000272,1,1.22278588561,-19.1308864266,52.0761104837,0.570617304175,12.22,58.7681737654,28.4880709174,22649097.0,-712469.464519,0.00205217684864,4.43403301139,176.183164432,18.017016353,1.31851424075,1.97258032302,-0.030536112583,0.0210895969072,4.15222096734,47.559304859,61.6356974977,-4.42973149377,76.0422760011,0.000447132354388,-0.0133781759158,17496600576.0,1473.44,201702091500,15.0,1484.49,1466.93,1468.28,-0.0305314508,1473.89,0,1500,9.0,148772.0,4,3
2017-02-10,11.0752815892,0,1.23198823332,-14.4968923232,55.6864712284,2.05166336197,25.57,71.9518041051,28.4681245204,22793635.0,-684289.947728,0.00353800950703,5.32221235479,180.601643839,18.2615151849,2.57074431405,0.567627878453,0.598163991036,0.0253681868576,11.3729424568,65.0550762853,85.4345691122,-4.23607838568,119.250996,0.0014774247386,-0.0129948808799,17832421376.0,1482.28,201702101500,3.0,1490.91,1469.47,1474.26,0.5999565642,1473.44,0,1500,23.0,144538.0,4,3
2017-02-13,19.2997582259,1,1.23415513458,-14.7824777962,59.3739680596,2.61529151251,43.06,78.8133754066,28.37423282,22934838.0,-678896.297386,0.00514247034211,6.32388472157,200.089192634,18.4156926717,1.23262721928,1.26316333186,0.664999340827,0.0318310349269,18.7479361192,76.4725945048,82.3475169046,-4.29147190256,198.954976,0.00269910660644,-0.0124633884168,18016282624.0,1492.17,201702131500,1.0,1501.99,1481.57,1481.57,0.6672153709,1482.28,0,1500,25.0,141203.0,4,3
2017-02-14,19.2997582259,1,1.21165031825,-17.8383260575,58.3015603476,3.14814558443,42.01,79.8507400462,28.2870476696,22822743.0,-749573.99746,0.0054895288742,6.56906303086,158.415636412,18.0552860523,1.12702722841,0.528863237369,-0.136136103458,0.0361357363893,16.6031206952,83.9037516607,83.9291689654,-4.71361196314,240.884864001,0.00362924736236,-0.0118659016632,14231816192.0,1490.14,201702141500,16.0,1501.04,1487.67,1496.12,-0.1360434803,1492.17,0,1500,9.0,112095.0,4,3
2017-02-15,11.2844057447,1,1.23311703017,-30.9498720458,53.8106069821,0.511571419848,32.74,71.1209423416,27.654129826,22694503.0,-863178.904736,0.00445331991078,5.88595865078,103.802295787,18.26776562,-0.0573605395471,-0.722359880374,-0.586223776916,0.0377175676799,7.62121396428,81.6954868567,78.8097747002,-4.25481312677,242.092109001,0.00390393821183,-0.0113024981757,16124783616.0,1481.43,201702151500,25.0,1501.26,1480.23,1489.9,-0.5845088381,1490.14,0,1500,2.0,128240.0,1,3
2017-02-16,7.49988087629,1,1.24925810336,-6.63856691254,59.9680962809,1.6383429254,36.46,72.1830890679,26.4598045324,22842854.0,-756953.761528,0.00526535073286,6.22992595736,102.322503663,18.7086395043,0.361903564161,0.498039667619,1.08426344453,0.0424948533284,19.9361925618,81.4211184423,81.5244116614,-4.11538461663,298.863109001,0.00435774238551,-0.0106545792677,19152041984.0,1497.58,201702161500,1.0,1501.05,1476.61,1480.06,1.0901628832,1481.43,0,1500,26.0,148351.0,2,3
2017-02-17,34.9960895944,1,1.38174108362,-42.0316868593,60.0320488445,1.0443371023,33.29,76.3309044483,26.5049757247,23138638.0,-1034680.44081,0.00540197723192,6.16624321225,155.609518716,20.695165254,0.510058336633,1.09628211355,0.0120186690137,0.046410550998,20.064097689,77.9313814741,73.4599580608,-3.47184360997,286.501669,0.00470582066765,-0.00996839929106,36653355008.0,1497.76,201702171500,14.0,1542.86,1496.34,1506.16,0.0120193913,1497.58,0,1500,11.0,295784.0,2,3
2017-02-20,26.7381453348,1,1.38322808175,-29.2637465051,64.6596442126,1.29274814532,55.2,70.7538684865,26.2893313522,23307069.0,-866676.569292,0.00653262057964,6.69915236618,101.718222453,20.9069391644,2.00682336037,0.922559915834,0.91054124682,0.0525932258987,29.3192884253,76.3354565433,74.0219999077,-4.15704549154,300.086509001,0.00531475397164,-0.00917694216668,20941361152.0,1511.46,201702201500,2.0,1511.49,1487.83,1492.2,0.9146992843,1497.76,0,1500,24.0,168431.0,2,3
